latitude,longitude,acq_date,acq_time,satellite,instrument,confidence,frp,daynight,datetime,timezone,localtime,time_diff,diff_class,rlocaltime,index_right,CUT,reg_order,reg,prov,com,nom_minrel,nom_order
-36.436,-71.39,2026-02-25,1358,G19FRP,GOES,84.0,"61,60",D,2026-02-25 13:58,America/Santiago,2026-02-25 10:58,"47,35",48,2026-02-25 11:00,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.435,-71.414,2026-02-25,1358,G19FRP,GOES,79.0,"90,90",D,2026-02-25 13:58,America/Santiago,2026-02-25 10:58,"47,35",48,2026-02-25 11:00,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.445576,-71.404816,2026-02-25,1400,G19,GOES,30.0,"159,99",D,2026-02-25 14:00,America/Santiago,2026-02-25 11:00,"47,32",48,2026-02-25 11:00,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1408,G19FRP,GOES,91.0,"103,80",D,2026-02-25 14:08,America/Santiago,2026-02-25 11:08,"47,19",48,2026-02-25 11:10,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.435,-71.414,2026-02-25,1408,G19FRP,GOES,97.0,"199,10",D,2026-02-25 14:08,America/Santiago,2026-02-25 11:08,"47,19",48,2026-02-25 11:10,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.445774,-71.381485,2026-02-25,1410,G19,GOES,30.0,"91,54",D,2026-02-25 14:10,America/Santiago,2026-02-25 11:10,"47,15",48,2026-02-25 11:10,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1418,G19FRP,GOES,92.0,"117,30",D,2026-02-25 14:18,America/Santiago,2026-02-25 11:18,"47,02",48,2026-02-25 11:20,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.435,-71.414,2026-02-25,1418,G19FRP,GOES,98.0,"220,20",D,2026-02-25 14:18,America/Santiago,2026-02-25 11:18,"47,02",48,2026-02-25 11:20,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1428,G19FRP,GOES,90.0,"100,70",D,2026-02-25 14:28,America/Santiago,2026-02-25 11:28,"46,85",48,2026-02-25 11:30,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.435,-71.414,2026-02-25,1428,G19FRP,GOES,89.0,"162,70",D,2026-02-25 14:28,America/Santiago,2026-02-25 11:28,"46,85",48,2026-02-25 11:30,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.445774,-71.381485,2026-02-25,1430,G19,GOES,30.0,"71,74",D,2026-02-25 14:30,America/Santiago,2026-02-25 11:30,"46,82",48,2026-02-25 11:30,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.445576,-71.404816,2026-02-25,1430,G19,GOES,30.0,"92,65",D,2026-02-25 14:30,America/Santiago,2026-02-25 11:30,"46,82",48,2026-02-25 11:30,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.41,-71.368,2026-02-25,1438,G19FRP,GOES,51.0,"28,00",D,2026-02-25 14:38,America/Santiago,2026-02-25 11:38,"46,69",48,2026-02-25 11:40,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.435,-71.414,2026-02-25,1438,G19FRP,GOES,74.0,"109,20",D,2026-02-25 14:38,America/Santiago,2026-02-25 11:38,"46,69",48,2026-02-25 11:40,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1438,G19FRP,GOES,90.0,"91,00",D,2026-02-25 14:38,America/Santiago,2026-02-25 11:38,"46,69",48,2026-02-25 11:40,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.445576,-71.404816,2026-02-25,1440,G19,GOES,30.0,"98,92",D,2026-02-25 14:40,America/Santiago,2026-02-25 11:40,"46,65",48,2026-02-25 11:40,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1448,G19FRP,GOES,89.0,"85,60",D,2026-02-25 14:48,America/Santiago,2026-02-25 11:48,"46,52",48,2026-02-25 11:50,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.435,-71.414,2026-02-25,1448,G19FRP,GOES,77.0,"121,10",D,2026-02-25 14:48,America/Santiago,2026-02-25 11:48,"46,52",48,2026-02-25 11:50,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.445576,-71.404816,2026-02-25,1450,G19,GOES,30.0,"69,13",D,2026-02-25 14:50,America/Santiago,2026-02-25 11:50,"46,49",48,2026-02-25 11:50,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1458,G19FRP,GOES,85.0,"73,70",D,2026-02-25 14:58,America/Santiago,2026-02-25 11:58,"46,35",48,2026-02-25 12:00,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.436,-71.39,2026-02-25,1508,G19FRP,GOES,84.0,"70,30",D,2026-02-25 15:08,America/Santiago,2026-02-25 12:08,"46,19",48,2026-02-25 12:10,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
-36.420326,-71.382851,2026-02-25,1520,G19,GOES,30.0,"74,20",D,2026-02-25 15:20,America/Santiago,2026-02-25 12:20,"45,99",48,2026-02-25 12:20,114.0,7404.0,9.0,Maule,Linares,Parral,MAULE,07 Maule
