id,nombre,estado,num_reg,reg_id,f_inicio,f_control,f_extincion,sup_total,lat,lon,ambito,comb_inicial,snaspe,comuna,provincia,region,reg_order,nom_order,fmt_inicio,dia_nom,rango_hora
777217333,IPLA,Extinguido,1,1,2025-07-22 00:30,2025-07-22 01:45,2025-07-22 02:35,"0,13",-20.074562072753906,-69.21556854248047,CONAF,Pastizal,,Pozo Almonte,Tamarugal,Tarapacá,2,01 Tarapacá,2025-07-22 00:30:00,martes,1
777383343,RAFAEL ZORRAINDO,Extinguido,1,3,2025-08-04 13:35,,2025-08-05 17:22,"0,17",-27.398555755615234,-70.29679870605469,CONAF,Arbolado natural,,Copiapó,Copiapó,Atacama,4,03 Atacama,2025-08-04 13:35:00,lunes,14
777278741,PARQUE COLL,Extinguido,1,4,2025-07-25 14:40,2025-07-25 16:40,2025-07-25 17:40,"0,20",-29.913610458374023,-71.23110961914062,CONAF,Pastizal,,La Serena,Elqui,Coquimbo,5,04 Coquimbo,2025-07-25 14:40:00,viernes,15
777277928,ENLACE LAGUNILLAS,Extinguido,4,5,2025-07-25 15:15,2025-07-25 16:28,2025-07-25 16:47,"8,35",-33.378334045410156,-71.45361328125,CONAF,Pastizal,,Casablanca,Valparaíso,Valparaíso,6,05 Valparaíso,2025-07-25 15:15:00,viernes,16
777341661,OCAC,Extinguido,6,5,2025-07-30 15:30,2025-07-30 18:15,2025-07-30 18:20,"0,50",-27.102699279785156,-109.30438995361328,CONAF,Pastizal,Rapa Nui,Isla de Pascua,Isla de Pascua,Valparaíso Insular,6,05 Valparaíso Insular,2025-07-30 15:30:00,miércoles,16
777042837,VIñA INSITU,Extinguido,2,5,2025-07-08 11:40,2025-07-08 15:31,2025-07-08 16:09,"0,10",-32.83330154418945,-70.5831527709961,CONAF,Desechos,,San Esteban,Los Andes,Valparaíso,6,05 Valparaíso,2025-07-08 11:40:00,martes,12
777029904,CALLE OHIGGINS,Extinguido,1,5,2025-07-07 15:57,2025-07-08 11:35,2025-07-11 09:33,"0,03",-32.78972244262695,-71.22805786132812,CONAF,Pastizal,,Calera,Quillota,Valparaíso,6,05 Valparaíso,2025-07-07 15:57:00,lunes,16
777054054,EL TURCO,Extinguido,3,5,2025-07-08 17:00,2025-07-08 18:20,2025-07-08 18:21,"0,01",-33.54902648925781,-71.4782485961914,CONAF,Pastizal,,Cartagena,San Antonio,Valparaíso,6,05 Valparaíso,2025-07-08 17:00:00,martes,18
777325818,FUNDO NICOLAO,Extinguido,5,5,2025-07-29 19:20,2025-07-31 14:30,2025-07-31 14:32,"2,27",-33.83402633666992,-71.80186462402344,CONAF,Pastizal,,Santo Domingo,San Antonio,Valparaíso,6,05 Valparaíso,2025-07-29 19:20:00,martes,20
777106919,CERRO VENTANA,Extinguido,1,6,2025-07-12 13:35,,2025-07-21 10:38,"8,98",-34.198917388916016,-71.07969665527344,CONAF,Matorral,,Las Cabras,Cachapoal,O'Higgins,8,06 O'Higgins,2025-07-12 13:35:00,sábado,14
777737789,MARIA JOSE (PARTICULAR),Extinguido,2,7,2025-08-14 14:06,2025-08-14 16:10,2025-08-18 08:38,"0,50",-35.39694595336914,-72.49222564697266,CONAF,Matorral,,Constitución,Talca,Maule,9,07 Maule,2025-08-14 14:06:00,jueves,15
777736889,LOMA BLANCA GONZALEZ,Extinguido,2,7,2025-07-12 07:38,2025-07-12 15:30,2025-07-14 16:25,"1,60",-35.28138732910156,-71.98388671875,Empresa,,,Curepto,Talca,Maule,9,07 Maule,2025-07-12 07:38:00,sábado,8
777737520,EL AGUILUCHO (PARTICULAR),Extinguido,1,7,2025-08-13 19:38,2025-08-13 22:10,2025-08-31 10:10,"1,10",-35.171390533447266,-72.0169448852539,CONAF,Matorral,,Curepto,Talca,Maule,9,07 Maule,2025-08-13 19:38:00,miércoles,20
777749201,CANADA,Extinguido,3,8,2025-07-23 17:12,2025-07-23 19:10,2025-07-23 19:26,"0,01",-36.982887268066406,-72.83658599853516,Empresa,,,Hualqui,Concepción,Biobío,11,08 Biobío,2025-07-23 17:12:00,miércoles,18
777749390,LOS COIGUES 1,Extinguido,4,8,2025-08-14 12:35,2025-08-14 16:15,2025-08-15 12:39,"0,28",-36.739444732666016,-72.90694427490234,Empresa,,,Tomé,Concepción,Biobío,11,08 Biobío,2025-08-14 12:35:00,jueves,13
777522605,CAICUNES R. RALCO,Extinguido,1,8,2025-08-18 17:25,,2025-08-19 10:27,"0,50",-37.940834045410156,-71.37444305419922,CONAF,Arbolado natural,Ralco,Alto Biobío,Biobio,Biobío,11,08 Biobío,2025-08-18 17:25:00,lunes,18
777227985,MANQUECUEL,Extinguido,1,8,2025-07-17 19:44,2025-07-18 11:54,2025-07-18 16:05,"0,70",-37.732582092285156,-72.16677856445312,Empresa,,,Mulchén,Biobio,Biobío,11,08 Biobío,2025-07-17 19:44:00,jueves,20
777752053,LA LOMA (PARTICULAR),Extinguido,2,8,2025-08-31 00:36,2025-08-31 01:17,2025-08-31 01:20,"0,14",-37.50035095214844,-71.80615234375,CONAF,Matorral,,Quilleco,Biobio,Biobío,11,08 Biobío,2025-08-31 00:36:00,domingo,1
777579309,QUESQUECHAN,Extinguido,2,9,2025-08-18 16:17,2025-08-18 17:00,2025-08-18 17:00,"0,20",-39.2810173034668,-72.55754852294922,CONAF,Pastizal,,Loncoche,Cautín,La Araucanía,12,09 La Araucanía,2025-08-18 16:17:00,lunes,17
777513421,JUNQUILLAR PART.,Extinguido,1,9,2025-07-14 22:01,2025-07-15 00:00,2025-07-15 11:55,"0,15",-37.78361129760742,-72.75444793701172,CONAF,Plantación pino,,Angol,Malleco,La Araucanía,12,09 La Araucanía,2025-07-14 22:01:00,lunes,23
777683828,EL TABANO,Extinguido,1,10,2025-08-31 19:45,2025-08-31 22:30,2025-09-01 10:15,"0,71",-41.434444427490234,-72.90389251708984,CONAF,Matorral,,Puerto Montt,Llanquihue,Los Lagos,14,10 Los Lagos,2025-08-31 19:45:00,domingo,20
777224132,LAS CLARILLANAS,Extinguido,3,13,2025-07-22 11:40,2025-07-22 13:00,2025-07-22 13:29,"0,01",-33.68030548095703,-70.5947494506836,CONAF,Pastizal,,Pirque,Cordillera,Metropolitana,7,13 Metropolitana,2025-07-22 11:40:00,martes,12
777163355,COQUIMBO,Extinguido,2,13,2025-07-17 15:06,2025-07-18 09:31,2025-07-18 09:36,"6,00",-33.20166778564453,-70.7844467163086,CONAF,Pastizal,,Lampa,Chacabuco,Metropolitana,7,13 Metropolitana,2025-07-17 15:06:00,jueves,16
777710624,PUENTE PUANGUE,Extinguido,5,13,2025-09-02 11:30,2025-09-02 13:42,2025-09-02 13:46,"0,01",-33.65238952636719,-71.3199462890625,CONAF,Pastizal,,Melipilla,Melipilla,Metropolitana,7,13 Metropolitana,2025-09-02 11:30:00,martes,12
777159307,LO CHACON,Extinguido,1,13,2025-07-17 11:55,2025-07-17 13:30,2025-07-17 13:57,"0,01",-33.70277786254883,-71.01944732666016,CONAF,Matorral,,El Monte,Talagante,Metropolitana,7,13 Metropolitana,2025-07-17 11:55:00,jueves,12
777046569,HUANTA KM 6,Extinguido,1,15,2025-07-08 11:00,2025-07-08 16:55,2025-07-08 18:26,"2,60",-18.407852172851562,-70.04389953613281,CONAF,Matorral,,Arica,Arica,Arica y Parinacota,1,15 Arica y Parinacota,2025-07-08 11:00:00,martes,12
777792805,TEJAS VERDES 1,Extinguido,1,11,2025-09-04 16:22,2025-09-04 17:05,2025-09-04 17:18,"0,01",-45.56306076049805,-72.01918029785156,CONAF,,,Coyhaique,Coyhaique,Aysén,15,11 Aysén,2025-09-04 16:22:00,jueves,17
